,Entry,Entry name,Status,Protein names,Gene,Organism,Length,Gene16,PP,gene
3967,Q88M56,Q88M56_PSEPK,unreviewed,Putative diguanylate phosphodiesterase containing EAL domain,PP_1718,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),360,PP_1718,PP_1718,PP_1718
4272,Q88M55,Q88M55_PSEPK,unreviewed,Tail-specific protease prc,prc PP_1719,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),704,prc,PP_1719,prc
43,Q88M54,Q88M54_PSEPK,unreviewed,"Alcohol dehydrogenase, zinc-containing",PP_1720,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),320,PP_1720,PP_1720,PP_1720
672,Q88M53,Q88M53_PSEPK,unreviewed,Putative phosphoserine phosphatase (EC 3.1.3.-),PP_1721,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),217,PP_1721,PP_1721,PP_1721
2969,Q88M52,Q88M52_PSEPK,unreviewed,"ABC transporter, ATP-binding protein",PP_1722,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),329,PP_1722,PP_1722,PP_1722
1929,Q88M51,Q88M51_PSEPK,unreviewed,Putative 2-aminoethylphosphonate transport system permease,PP_1723,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),264,PP_1723,PP_1723,PP_1723
3235,Q88M50,Q88M50_PSEPK,unreviewed,Putative ABC-type 2-aminoethylphosphonate transporter permease,PP_1724,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),279,PP_1724,PP_1724,PP_1724
2720,Q88M49,Q88M49_PSEPK,unreviewed,Uncharacterized protein,PP_1725,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),278,PP_1725,PP_1725,PP_1725
4410,Q88M48,Q88M48_PSEPK,unreviewed,"ABC transporter, periplasmic binding protein",PP_1726,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),354,PP_1726,PP_1726,PP_1726
2418,Q88M47,Q88M47_PSEPK,unreviewed,"Transcriptional regulator, GntR family",PP_1727,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),237,PP_1727,PP_1727,PP_1727
2985,Q88M46,Q88M46_PSEPK,unreviewed,Uncharacterized protein,PP_1728,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),717,PP_1728,PP_1728,PP_1728
86,Q88M45,Q88M45_PSEPK,unreviewed,Uncharacterized protein,PP_1729,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),67,PP_1729,PP_1729,PP_1729
5309,Q88M44,APEB_PSEPK,reviewed,Probable M18 family aminopeptidase 2 (EC 3.4.11.-),apeB PP_1730,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),429,apeB,PP_1730,apeB
3906,A0A140FW29,A0A140FW29_PSEPK,unreviewed,Pseudouridine synthase (EC 5.4.99.-),rluA PP_1731,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),211,rluA,PP_1731,rluA
5364,Q88M43,MINE_PSEPK,reviewed,Cell division topological specificity factor,minE PP_1732,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),84,minE,PP_1732,minE
4114,Q88M42,Q88M42_PSEPK,unreviewed,Cell division inhibitor MinD (Septum site-determining protein MinD),minD PP_1733,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),270,minD,PP_1733,minD
5070,Q88M41,MINC_PSEPK,reviewed,Probable septum site-determining protein MinC,minC PP_1734,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),250,minC,PP_1734,minC
1344,Q88M40,Q88M40_PSEPK,unreviewed,Lipid A biosynthesis lauroyltransferase (EC 2.3.1.241) (Kdo(2)-lipid IV(A) lauroyltransferase),htrB lpxL PP_1735,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),311,htrB,PP_1735,htrB
3813,Q88M39,Q88M39_PSEPK,unreviewed,PNPLA domain-containing protein,PP_1736,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),382,PP_1736,PP_1736,PP_1736
215,Q88M38,Q88M38_PSEPK,unreviewed,Uncharacterized protein,PP_1737,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),248,PP_1737,PP_1737,PP_1737
809,Q88M37,Q88M37_PSEPK,unreviewed,Uncharacterized protein,PP_1738,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),432,PP_1738,PP_1738,PP_1738
373,Q88M36,Q88M36_PSEPK,unreviewed,Uncharacterized protein,PP_1739,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),125,PP_1739,PP_1739,PP_1739
2644,Q88M35,Q88M35_PSEPK,unreviewed,Putative Beta (1-6) glucans synthase,PP_1740,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),525,PP_1740,PP_1740,PP_1740
950,Q88M34,Q88M34_PSEPK,unreviewed,Choline / betaine / carnitine ABC transporter-substrate binding protein BetX (EC 3.6.3.32),betX PP_1741,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),287,betX,PP_1741,betX
243,Q88M33,Q88M33_PSEPK,unreviewed,Uncharacterized protein,yjcH PP_1742,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),103,yjcH,PP_1742,yjcH
1129,Q88M32,Q88M32_PSEPK,unreviewed,Acetate permease,actP-I PP_1743,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),554,actP-I,PP_1743,actP-I
2278,Q88M31,Q88M31_PSEPK,unreviewed,Uncharacterized protein,PP_1744,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),50,PP_1744,PP_1744,PP_1744
4831,Q88M30,Q88M30_PSEPK,unreviewed,"Oxidoreductase, short chain dehydrogenase/reductase family",PP_1745,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),269,PP_1745,PP_1745,PP_1745
4026,Q88M29,Q88M29_PSEPK,unreviewed,Translational regulator CsrA (Carbon storage regulator),csrA PP_1746,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),59,PP_1746,PP_1746,csrA 
5120,Q88M28,Y1747_PSEPK,reviewed,UPF0270 protein PP_1747,PP_1747,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),75,PP_1747,PP_1747,PP_1747
3814,Q88M27,Q88M27_PSEPK,unreviewed,Uncharacterized protein,PP_1748,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),394,PP_1748,PP_1748,PP_1748
2198,Q88M26,Q88M26_PSEPK,unreviewed,GNAT family acetyltransferase (EC 6.3.2.29) (EC 6.3.2.30),PP_1749,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),581,PP_1749,PP_1749,PP_1749
2036,Q88M25,Q88M25_PSEPK,unreviewed,Asparagine synthetase (EC 6.3.5.4),asnB PP_1750,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),595,asnB,PP_1750,asnB
4853,Q88M24,MNMC_PSEPK,reviewed,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)],mnmC PP_1751,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),654,mnmC,PP_1751,mnmC
2886,Q88M23,Q88M23_PSEPK,unreviewed,Uncharacterized protein,PP_1752,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),497,PP_1752,PP_1752,PP_1752
276,Q88M22,Q88M22_PSEPK,unreviewed,Putative permease of the drug/metabolite transporter (DMT) superfamily,PP_1753,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),324,PP_1753,PP_1753,PP_1753
3759,Q88M21,Q88M21_PSEPK,unreviewed,Alginate_lyase domain-containing protein,PP_1754,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),386,PP_1754,PP_1754,PP_1754
5306,Q88M20,FUMC_PSEPK,reviewed,Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase),fumC fumC-2 PP_1755,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),464,fumC-II,PP_1755,fumC-II
2399,Q88M19,Q88M19_PSEPK,unreviewed,DUF2059 domain-containing protein,PP_1756,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),174,PP_1756,PP_1756,PP_1756
2408,Q88M18,Q88M18_PSEPK,unreviewed,DNA-binding transcriptional dual regulator,bolA PP_1757,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),98,bolA,PP_1757,bolA
4719,Q88M17,TRHO_PSEPK,reviewed,tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O),trhO PP_1758,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),310,PP_1758,PP_1758,trhO 
2108,Q88M16,Q88M16_PSEPK,unreviewed,DSBA domain-containing protein,PP_1759,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),199,PP_1759,PP_1759,PP_1759
3917,Q88M15,Q88M15_PSEPK,unreviewed,"ABC transporter, ATP-binding protein",PP_1760,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),610,PP_1760,PP_1760,PP_1760
3266,Q88M14,Q88M14_PSEPK,unreviewed,Diguanylate cyclase with phosphodiesterase domain,yegE PP_1761,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),841,yegE,PP_1761,yegE
2723,Q88M13,Q88M13_PSEPK,unreviewed,Uncharacterized protein,PP_1762,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),261,PP_1762,PP_1762,PP_1762
1996,Q88M12,Q88M12_PSEPK,unreviewed,Putative oxidoreductase (EC 1.-.-.-),yciK PP_1763,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),246,yciK,PP_1763,yciK
8,Q88M11,MUPP_PSEPK,reviewed,N-acetylmuramic acid 6-phosphate phosphatase (MurNAc 6-phosphate phosphatase) (MurNAc-6P phosphatase) (EC 3.1.3.105),mupP gph PP_1764,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),223,gph,PP_1764,gph
5139,Q88M10,UBIG_PSEPK,reviewed,Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64),ubiG PP_1765,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),232,ubiG,PP_1765,ubiG
4854,Q88M09,MTNA_PSEPK,reviewed,Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase),mtnA PP_1766,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),358,mtnA,PP_1766,mtnA
3590,Q88M08,Q88M08_PSEPK,unreviewed,DNA gyrase subunit A (EC 5.6.2.2),gyrA PP_1767,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),923,gyrA,PP_1767,gyrA
5157,Q88M07,SERC_PSEPK,reviewed,Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT),serC PP_1768,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),361,serC,PP_1768,serC
3909,Q88M06,Q88M06_PSEPK,unreviewed,Bifunctional chorismate mutase/prephenate dehydratase (EC 4.2.1.51) (EC 5.4.99.5) (Chorismate mutase) (Chorismate mutase-prephenate dehydratase) (Prephenate dehydratase) (p-protein),pheA PP_1769,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),367,pheA,PP_1769,pheA
1861,Q88M05,Q88M05_PSEPK,unreviewed,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),aroA PP_1770,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),746,PP_1770,PP_1770,aroA 
5028,Q88M04,KCY_PSEPK,reviewed,Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase),cmk PP_1771,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),228,cmk,PP_1771,cmk
1658,Q88M03,Q88M03_PSEPK,unreviewed,30S ribosomal protein S1,rpsA PP_1772,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),576,rpsA,PP_1772,rpsA
5247,P0A128,IHFB_PSEPK,reviewed,Integration host factor subunit beta (IHF-beta),ihfB himD PP_1773,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),100,ihfB,PP_1773,ihfB
1986,Q88M02,Q88M02_PSEPK,unreviewed,LapA_dom domain-containing protein,PP_1774,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),104,PP_1774,PP_1774,PP_1774
1627,Q88M01,Q88M01_PSEPK,unreviewed,Metallo-beta-lactamase family protein,PP_1775,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),477,PP_1775,PP_1775,PP_1775
1701,Q88M00,Q88M00_PSEPK,unreviewed,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13),PP_1776,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),480,PP_1776,PP_1776,PP_1776
549,Q88LZ9,Q88LZ9_PSEPK,unreviewed,Phosphomannomutase (EC 5.4.2.8),cpsG PP_1777,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),453,cpsG,PP_1777,cpsG
1601,Q88LZ8,Q88LZ8_PSEPK,unreviewed,Transport permease protein,PP_1778,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),264,PP_1778,PP_1778,PP_1778
1826,Q88LZ7,Q88LZ7_PSEPK,unreviewed,"Lipopolysaccharide ABC export system, ATP-binding protein",PP_1779,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),405,PP_1779,PP_1779,PP_1779
2152,Q88LZ6,Q88LZ6_PSEPK,unreviewed,Putative mannosyltransferase,PP_1780,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),1603,PP_1780,PP_1780,PP_1780
504,Q88LZ5,Q88LZ5_PSEPK,unreviewed,Putative O-acyltransferase,PP_1781,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),362,PP_1781,PP_1781,PP_1781
2261,Q88LZ4,Q88LZ4_PSEPK,unreviewed,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)",rfbC PP_1782,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),182,rfbC,PP_1782,rfbC
2997,Q88LZ3,Q88LZ3_PSEPK,unreviewed,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),rfbA PP_1783,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),293,rfbA,PP_1783,rfbA
3658,Q88LZ2,Q88LZ2_PSEPK,unreviewed,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),rfbD PP_1784,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),300,rfbD,PP_1784,rfbD
4399,Q88LZ1,Q88LZ1_PSEPK,unreviewed,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",rffG PP_1785,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),366,rffG,PP_1785,rffG
2098,Q88LZ0,Q88LZ0_PSEPK,unreviewed,Putative Glycosyl transferase,PP_1786,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),1147,PP_1786,PP_1786,PP_1786
1033,Q88LY9,Q88LY9_PSEPK,unreviewed,Uncharacterized protein,PP_1787,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),336,PP_1787,PP_1787,PP_1787
508,Q88LY8,Q88LY8_PSEPK,unreviewed,Uncharacterized protein,PP_1788,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),359,PP_1788,PP_1788,PP_1788
3510,Q88LY7,Q88LY7_PSEPK,unreviewed,"Hydrolase, haloacid dehalogenase-like family",PP_1789,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),227,PP_1789,PP_1789,PP_1789
4148,Q88LY6,Q88LY6_PSEPK,unreviewed,Putative Acylneuraminate cytidylyltransferase,PP_1790,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),231,PP_1790,PP_1790,PP_1790
1689,Q88LY5,Q88LY5_PSEPK,unreviewed,Putative Aldolase/synthase,PP_1791,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),534,PP_1791,PP_1791,PP_1791
653,Q88LY4,Q88LY4_PSEPK,unreviewed,"Glycosyl transferase, group 2 family protein",PP_1792,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),809,PP_1792,PP_1792,PP_1792
597,Q88LY3,Q88LY3_PSEPK,unreviewed,"Glycosyl transferase, group 2 family protein",PP_1793,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),862,PP_1793,PP_1793,PP_1793
3041,Q88LY2,Q88LY2_PSEPK,unreviewed,Uncharacterized protein,PP_1794,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),480,PP_1794,PP_1794,PP_1794
3791,Q88LY1,Q88LY1_PSEPK,unreviewed,Uncharacterized protein,PP_1795,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),295,PP_1795,PP_1795,PP_1795
3539,Q88LY0,Q88LY0_PSEPK,unreviewed,Membrane fusion protein (MFP) family protein,PP_1797,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),441,PP_1797,PP_1797,PP_1797
752,Q88LX9,Q88LX9_PSEPK,unreviewed,Outer membrane efflux protein,PP_1798,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),471,PP_1798,PP_1798,PP_1798
3593,Q88LX8,Q88LX8_PSEPK,unreviewed,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)",gmd PP_1799,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),355,gmd,PP_1799,gmd
2876,Q88LX7,Q88LX7_PSEPK,unreviewed,Oxidoreductase Rmd,rmd PP_1800,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),298,rmd,PP_1800,rmd
3913,Q88LX6,Q88LX6_PSEPK,unreviewed,Glycosyl transferase WbpY,wbpY PP_1801,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),380,wbpY,PP_1801,wbpY
4133,Q88LX5,Q88LX5_PSEPK,unreviewed,Glycosyl transferase,wbpZ PP_1802,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),369,wbpZ,PP_1802,wbpZ
899,Q88LX4,Q88LX4_PSEPK,unreviewed,UDP-sugar epimerase,wbpV PP_1803,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),323,wbpV,PP_1803,wbpV
1406,Q88LX3,Q88LX3_PSEPK,unreviewed,Glycosyl transferase WbpL,wbpL PP_1804,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),334,wbpL,PP_1804,wbpL
2856,Q88LX2,Q88LX2_PSEPK,unreviewed,Polysaccharide biosynthesis protein,wbpM PP_1805,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),688,wbpM,PP_1805,wbpM
3314,Q88LX1,Q88LX1_PSEPK,unreviewed,Arabinose 5-phosphate isomerase (API) (EC 5.3.1.13),PP_1806,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),317,PP_1806,PP_1806,PP_1806
5478,Q88LX0,KDSA2_PSEPK,reviewed,2-dehydro-3-deoxyphosphooctonate aldolase 2 (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase 2) (KDO-8-phosphate synthase 2) (KDO 8-P synthase 2) (KDOPS 2) (Phospho-2-dehydro-3-deoxyoctonate aldolase 2),kdsA2 kdsA-2 PP_1807,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),280,kdsA-II,PP_1807,kdsA-II
5298,Q88LW9,G6PI1_PSEPK,reviewed,Glucose-6-phosphate isomerase 1 (GPI 1) (EC 5.3.1.9) (Phosphoglucose isomerase 1) (PGI 1) (Phosphohexose isomerase 1) (PHI 1),pgi1 pgi-1 PP_1808,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),554,pgi-I,PP_1808,pgi-I
3431,Q88LW7,Q88LW7_PSEPK,unreviewed,Uncharacterized protein,PP_1810,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),246,PP_1810,PP_1810,PP_1810
2494,Q88LW6,Q88LW6_PSEPK,unreviewed,UDP-N-acetylglucosamine-2-epimerase (EC 5.1.3.14),rffE PP_1811,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),380,rffE,PP_1811,rffE
4665,Q88LW5,Q88LW5_PSEPK,unreviewed,Uncharacterized protein,PP_1812,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),66,PP_1812,PP_1812,PP_1812
468,Q88LW4,Q88LW4_PSEPK,unreviewed,ComEA-related protein,PP_1813,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),112,PP_1813,PP_1813,PP_1813
2186,Q88LW3,Q88LW3_PSEPK,unreviewed,Uncharacterized protein,PP_1814,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),55,PP_1814,PP_1814,PP_1814
4986,Q88LW2,PYRF_PSEPK,reviewed,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase),pyrF PP_1815,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),233,pyrF,PP_1815,pyrF
2571,Q88LW1,Q88LW1_PSEPK,unreviewed,"Alcohol dehydrogenase, zinc-containing",PP_1816,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),333,PP_1816,PP_1816,PP_1816
3405,Q88LW0,Q88LW0_PSEPK,unreviewed,"Oxidoreductase, short-chain dehydrogenase/reductase family",PP_1817,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),253,PP_1817,PP_1817,PP_1817
1856,Q88LV9,Q88LV9_PSEPK,unreviewed,OMP_b-brl domain-containing protein,PP_1818,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),247,PP_1818,PP_1818,PP_1818
3916,Q88LV8,Q88LV8_PSEPK,unreviewed,Methyl-accepting chemotaxis transducer,PP_1819,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),646,PP_1819,PP_1819,PP_1819
3737,Q88LV7,Q88LV7_PSEPK,unreviewed,Benzoate transport protein,PP_1820,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),398,PP_1820,PP_1820,PP_1820
1312,Q88LV6,Q88LV6_PSEPK,unreviewed,Glutathione S-transferase family protein,PP_1821,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),200,PP_1821,PP_1821,PP_1821
431,Q88LV5,Q88LV5_PSEPK,unreviewed,Glutaredoxin domain-containing protein,PP_1822,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),123,PP_1822,PP_1822,PP_1822
5362,Q88LV4,GCH11_PSEPK,reviewed,GTP cyclohydrolase 1 1 (EC 3.5.4.16) (GTP cyclohydrolase I 1) (GTP-CH-I 1),folE1 PP_1823,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),190,folEA-I,PP_1823,folE1 
91,Q88LV3,Q88LV3_PSEPK,unreviewed,Smr domain protein,PP_1824,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),186,PP_1824,PP_1824,PP_1824
3045,Q88LV2,Q88LV2_PSEPK,unreviewed,Uncharacterized protein,PP_1825,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),106,PP_1825,PP_1825,PP_1825
3818,Q88LV1,Q88LV1_PSEPK,unreviewed,"Hydrolase, isochorismatase family",PP_1826,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),196,PP_1826,PP_1826,PP_1826
2519,Q88LV0,Q88LV0_PSEPK,unreviewed,50S ribosomal protein L3 glutamine methyltransferase (L3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB),prmB PP_1827,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),302,prmB,PP_1827,prmB
188,Q88LU9,Q88LU9_PSEPK,unreviewed,Uncharacterized protein,PP_1828,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),260,PP_1828,PP_1828,PP_1828
585,Q88LU8,Q88LU8_PSEPK,unreviewed,"Hydrolase, alpha/beta fold family",PP_1829,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),319,PP_1829,PP_1829,PP_1829
5230,Q88LU7,AROC_PSEPK,reviewed,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),aroC PP_1830,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),363,aroC,PP_1830,aroC
2243,Q88LU6,Q88LU6_PSEPK,unreviewed,Putative Membrane protein,PP_1831,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),384,PP_1831,PP_1831,PP_1831
